nome,descricao,preco,categoria,tamanhos,fotos,disponivel,createdAt
"Vestido Flor","Vestido florido em viscose. Leve, fresco, ideal para dias quentes. Botões frontais, cintura marcada.",8990,Vestidos,"P, M, G","https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-28T10:00:00Z
"Blusa Transpassada","Blusa em crepe com amarração lateral. Decote V, manga longa. Elegante para o trabalho.",5990,Blusas,"P, M","https://images.unsplash.com/photo-1564257631407-4deb1f99d992?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-27T14:30:00Z
"Saia Midi Plissada","Saia plissada em poliéster. Cintura alta, comprimento midi. Preto clássico.",7490,Saias,"P, M, G, GG","https://images.unsplash.com/photo-1582552938357-32b906df40cb?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-26T09:15:00Z
"Calça Pantalona","Calça pantalona em linho. Cintura elástica, tecido leve. Conforto e estilo.",9990,Calças,"M, G, GG","https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-25T16:45:00Z
"Jaqueta Jeans","Jaqueta jeans clássica. Lavagem clara, desbotada. Botões de metal.",12990,Jaquetas,"P, M, G","https://images.unsplash.com/photo-1520975954732-35dd22299614?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-24T11:20:00Z
"Colar Argentium","Colar prata 950 com pedra ônix. Corrente 45cm. Acompanha estojo.",4990,Acessórios,Único,"https://images.unsplash.com/photo-1606761568499-6d2451b23c66?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-23T08:00:00Z
"Vestido Tubinho","Vestido tubinho preto básico. Decote reto, mangas curtas. Tactel confortável.",6990,Vestidos,"P, M, G, GG","https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-22T13:10:00Z
"Blusa Cropped","Blusa cropped em malha gelada. Cor mostarda, decote redondo. Despojada.",3990,Blusas,"P, M","https://images.unsplash.com/photo-1585487000160-6ebcfceb0d03?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-21T10:30:00Z
"Saia Jeans","Saia jeans reta. Azul médio, cintura média, fenda lateral. Use com botas.",5990,Saias,"M, G","https://images.unsplash.com/photo-1617178388553-a9d022974a5c?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-20T15:00:00Z
"Calça Cargo","Calça cargo bege. Bolsos laterais, tornozelo ajustado. Tecido sarja.",8490,Calças,"P, M, G","https://images.unsplash.com/photo-1644504392894-93f191004527?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-19T09:45:00Z
"Jaqueta Couro","Jaqueta couro legítimo. Preta, zíper diagonal, gola careca. Ícone atemporal.",19990,Jaquetas,"M, G","https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-18T14:20:00Z
"Brinco Argola","Par de argolas douradas. Aço banhado a ouro 18k. 5cm diâmetro.",2990,Acessórios,Único,"https://images.unsplash.com/photo-1630019852942-f89202989a59?w=400&h=600&fit=crop&auto=format",VERDADEIRO,2026-07-17T11:00:00Z
